aDNA - Ancient DNA analysis - DNA - Mixed-method dependent;63818
Bugs database - Amino Acid Racemization - Dating - Undefined other;57154
Bugs database - Archaeological period (unspecified) - Dating - Uncalibrated dates;62575
Bugs database - Artefact typology (calendar years) - Dating - Calendar dates;62926
Bugs database - C14 Accelerator dating - Dating - Undefined other;57319
Bugs database - C14 Conventional - Dating - Undefined other;57122
Bugs database - C14 dating of humic substances in sediment - Dating - Undefined other;56661
Bugs database - Calendar date by unknown method - Dating - Calendar dates;55990
Bugs database - Calendar date by unknown method - Dating - Uncalibrated dates;60173
Bugs database - Calendar date by unknown method - Dating - Undefined other;56808
Bugs database - Calibrated AMS radiocarbon date - Dating - Calendar dates;61761
Bugs database - Calibrated AMS radiocarbon date - Dating - Undefined other;60458
Bugs database - Calibrated radiocarbon date (method unspecified) - Dating - Calendar dates;57468
Bugs database - Composite chronology - Dating - Composite date;58407
Bugs database - Dendrochronology - Undefined - Calendar dates;55832
Bugs database - Dendrochronology - Undefined - Uncalibrated dates;55274
Bugs database - Electron Spin Resonance - Dating - Undefined other;54777
Bugs database - Geologically derived calendar date - Dating - Calendar dates;56234
Bugs database - Geological period (unspecified years) - Dating - Uncalibrated dates;57105
Bugs database - Historical Period - Dating - Uncalibrated dates;60394
Bugs database - Historical Records - Dating - Calendar dates;58080
Bugs database - Other archaeological dating - Dating - Calendar dates;55836
Bugs database - Other date by unknown method - Dating - Calendar dates;60477
Bugs database - Palaeoentomology - Insects & similar - Abundance;62304
Bugs database - Palaeoentomology - Insects & similar - Partial abundance;56737
Bugs database - Palaeoentomology - Insects & similar - Presence;59714
Bugs database - Palaeoentomology - Insects & similar - Undefined other;62870
Bugs database - Palynology - Plants & pollen - Uncalibrated dates;55394
Bugs database - Radiocarbon (14C Unspecified) - Dating - Undefined other;61239
Bugs database - Radiometric date by unknown method - Dating - Undefined other;61238
Bugs database - Stratigraphic (Geological) - Dating - Calendar dates;63573
Bugs database - Stratigraphic (Geological) - Dating - Uncalibrated dates;57248
Bugs database - Tephrochronology Calendar - Dating - Calendar dates;58683
Bugs database - Thermoluminescence - Dating - Undefined other;63397
Bugs database - Uranium-Series (general) - Dating - Undefined other;57171
Bugs database - U-Series U234/U238 - Dating - Undefined other;57117
Bugs database - Wiggle matching of 14C dates - Dating - Calendar dates;59262
Bugs database - Wiggle matching of 14C dates - Dating - Undefined other;56684
Ceramic - Petrographic microscopy - Ceramic thin sections - Categorical & Scaled (0-5;47018
Ceramic - Petrographic microscopy - Ceramic thin sections - Continuous;48035
Ceramic - Petrographic microscopy - Ceramic thin sections - Percentage;46855
Ceramic - Thermal analysis - Ceramic thin sections - Categorical;48875
Dendrochronology - Dendrochronology - Undefined - Abundance;49892
Dendrochronology - Dendrochronology - Undefined - Approximate location;53361
Dendrochronology - Dendrochronology - Undefined - Categorical;50441
Dendrochronology - Dendrochronology - Undefined - Composite date;50572
Dendrochronology - Dendrochronology - Undefined - Counted dates;50733
Dendrochronology - Dendrochronology - Undefined - Estimated Years;53701
Dendrochronology - Dendrochronology - Undefined - Presence;54383
MAL - 0,6mm (%) - Non-biological taxa - Continuous;10612
MAL - 2mm (%) - Non-biological taxa - Continuous;6083
MAL - Conductivity µS (H2O) - Soil chemistry/properties - Abundance;1529
MAL - Conductivity µS (H2O) - Soil chemistry/properties - Continuous;22602
MAL - Loss on ignition - Soil chemistry/properties - Abundance;879
MAL - Loss on ignition - Soil chemistry/properties - Continuous;8350
MAL - Loss on ignition - Soil chemistry/properties - Spot test interpretation;15765
MAL - Magnetic susceptibility - Soil chemistry/properties - Abundance;1352
MAL - Magnetic susceptibility - Soil chemistry/properties - Continuous;5496
MAL - Magnetic susceptibility - Soil chemistry/properties - Spot test interpretation;12867
MAL - Magnetic susceptibility (High frequency) - Soil chemistry/properties - Continuous;11446
MAL - Magnetic susceptibility (Low frequency) - Soil chemistry/properties - Continuous;13591
MAL - MS loop - Non-biological taxa - Continuous;1906
MAL - pH (H2O) - Soil chemistry/properties - Abundance;1540
MAL - pH (H2O) - Soil chemistry/properties - Continuous;20873
MAL - pH (KCl 0,1M) - Soil chemistry/properties - Abundance;1540
MAL - pH (KCl 0,1M) - Soil chemistry/properties - Continuous;10132
MAL - Phosphate degrees - Soil chemistry/properties - Abundance;2101
MAL - Phosphate degrees - Soil chemistry/properties - Continuous;22079
MAL - Phosphate degrees - Soil chemistry/properties - Spot test interpretation;15765
MAL - Phosphate degrees HCL - Soil chemistry/properties - Continuous;9817
MAL - Plant macrofossil analyses - Plants & pollen - Abundance;1956
MAL - Plant macrofossil analyses - Plants & pollen - Continuous;22145
MAL - Plant macrofossil analyses - Plants & pollen - MNI;23222
MAL - Plant macrofossil analyses - Plants & pollen - Partial abundance;23017
MAL - Plant macrofossil analyses - Plants & pollen - Presence;142
MAL - Plant macrofossil analyses - Plants & pollen - Undefined other;23523
MAL - Plant macros (volume) - Plants & pollen - Abundance;903
MAL - Total phosphates citric acid - Soil chemistry/properties - Abundance;2245
MAL - Total phosphates citric acid - Soil chemistry/properties - Continuous;4609
MAL - Total phosphates citric acid - Soil chemistry/properties - Spot test interpretation;7041
